Date,High,Low,Open,Close,Volume,Adj Close
2018-12-20,5.300000190734863,4.599999904632568,5.199999809265137,5.099999904632568,30700.0,5.099999904632568
2018-12-21,5.400000095367432,4.900000095367432,5.400000095367432,5.0,17000.0,5.0
2018-12-24,5.199999809265137,4.5,5.099999904632568,4.800000190734863,25900.0,4.800000190734863
2018-12-26,4.900000095367432,4.199999809265137,4.900000095367432,4.400000095367432,20700.0,4.400000095367432
2018-12-27,4.699999809265137,4.199999809265137,4.199999809265137,4.400000095367432,28800.0,4.400000095367432
2018-12-28,6.400000095367432,4.199999809265137,4.199999809265137,5.699999809265137,34700.0,5.699999809265137
2018-12-31,6.099999904632568,5.199999809265137,5.699999809265137,5.699999809265137,24900.0,5.699999809265137
2019-01-02,6.0,5.300000190734863,5.699999809265137,5.5,12100.0,5.5
2019-01-03,6.099999904632568,5.599999904632568,5.599999904632568,6.099999904632568,10300.0,6.099999904632568
2019-01-04,6.900000095367432,6.199999809265137,6.199999809265137,6.699999809265137,12300.0,6.699999809265137
2019-01-07,6.900000095367432,6.099999904632568,6.900000095367432,6.599999904632568,6400.0,6.599999904632568
2019-01-08,7.099999904632568,6.300000190734863,6.699999809265137,6.699999809265137,10200.0,6.699999809265137
2019-01-09,7.300000190734863,6.800000190734863,6.900000095367432,7.300000190734863,12000.0,7.300000190734863
2019-01-10,7.5,6.800000190734863,7.400000095367432,7.0,12100.0,7.0
2019-01-11,7.5,6.900000095367432,7.099999904632568,7.5,4800.0,7.5
2019-01-14,8.5,7.099999904632568,7.400000095367432,7.5,13600.0,7.5
2019-01-15,8.100000381469727,7.300000190734863,7.599999904632568,7.800000190734863,8000.0,7.800000190734863
2019-01-16,7.800000190734863,7.400000095367432,7.400000095367432,7.5,4800.0,7.5
2019-01-17,7.699999809265137,7.400000095367432,7.599999904632568,7.400000095367432,6000.0,7.400000095367432
2019-01-18,7.800000190734863,7.400000095367432,7.800000190734863,7.599999904632568,7000.0,7.599999904632568
2019-01-22,7.699999809265137,7.0,7.599999904632568,7.400000095367432,4700.0,7.400000095367432
2019-01-23,7.5,7.0,7.5,7.0,7000.0,7.0
2019-01-24,7.5,7.099999904632568,7.300000190734863,7.5,3200.0,7.5
2019-01-25,7.5,7.199999809265137,7.5,7.5,3800.0,7.5
2019-01-28,7.5,7.099999904632568,7.5,7.199999809265137,5300.0,7.199999809265137
2019-01-29,7.5,7.099999904632568,7.099999904632568,7.199999809265137,2700.0,7.199999809265137
2019-01-30,7.199999809265137,6.699999809265137,7.099999904632568,7.0,7900.0,7.0
2019-01-31,7.199999809265137,6.800000190734863,6.800000190734863,7.099999904632568,2100.0,7.099999904632568
2019-02-01,7.300000190734863,7.0,7.199999809265137,7.199999809265137,3100.0,7.199999809265137
2019-02-04,7.5,7.199999809265137,7.199999809265137,7.5,1600.0,7.5
2019-02-05,7.5,7.300000190734863,7.5,7.400000095367432,2300.0,7.400000095367432
2019-02-06,7.5,6.699999809265137,7.5,7.099999904632568,9300.0,7.099999904632568
2019-02-07,7.300000190734863,6.699999809265137,6.800000190734863,7.0,5900.0,7.0
2019-02-08,7.300000190734863,7.0,7.0,7.199999809265137,4300.0,7.199999809265137
2019-02-11,7.300000190734863,7.199999809265137,7.300000190734863,7.199999809265137,3900.0,7.199999809265137
